movie_title,movie_id,metascore,userscore,runtime,whole_cast_meta,principle_cast_meta,supporting_cast_meta,director_meta,writer_meta,producer_meta,principle_cast_user,supporting_cast_user,writers_user,whole_cast_user,director_user,producer_user,rls_season,rls_time_of_month,mpaa,genre,language,production_companies
Beautiful Boy,21428,62,7.1,120.0,53.4637778308672882,58.4565207519752974,54.4971017114979963,56.0000000000000000,60.5833333333333333,59.4777777777777778,6.988291729412237,6.671589568841892,7.2,6.785946109286626,7.550000000000001,6.798482142857142,Fall,Middle,R,"Biography,                                          Drama",English,Plan B Entertainment
Apostle,21430,62,6.3,130.0,58.1294492544492544,57.8174603174603175,58.3895502645502645,64.3333333333333333,63.0416666666666667,62.8723672161172161,6.182010582010581,6.284391534391535,7.574999999999999,6.209326599326598,7.8999999999999995,6.892820512820511,Fall,Middle,R,"Drama,                                          Mystery,                                          Thriller,                                          Fantasy,                                          Horror",English,XYZ Films
The Children Act,21431,62,7.4,105.0,64.5788020253158928,64.4596702317290553,64.0147233614338877,65.2500000000000000,61.3071428571428572,63.4434848484848485,6.692613636363637,6.943120874530649,6.877380952380953,6.934886621315193,7.137499999999999,6.674496012759171,Summer,Middle,R,Drama,English,BBC Films
Let the Corpses Tan,21432,62,7.5,92.0,64.7733333333333333,61.0000000000000000,65.3500000000000000,56.0000000000000000,50.3333333333333333,62.5000000000000000,7.050000000000001,6.9433333333333325,4.933333333333334,6.974761904761904,5.15,6.0,Summer,End,NR,Thriller,French,Canal+
The Bookshop,21433,62,6.5,113.0,57.9481332855722934,59.8968253968253968,54.5821969696969697,69.6000000000000000,74.5555555555555556,73.0972222222222222,6.361438492063492,7.003047825830084,8.25,6.907812117877231,8.0,7.4226190476190474,Summer,End,PG,Drama,English,Zephyr Films
Never Goin' Back,21434,62,7.3,85.0,63.4250000000000000,56.5000000000000000,63.2833333333333333,76.3333333333333333,69.7500000000000000,69.4700000000000000,7.025,7.347083333333333,7.022222222222222,7.360625,6.866666666666667,6.816666666666666,Summer,Beginning,NR,"Drama,                                          Comedy,                                          Crime",English,Zero Trans Fat Productions
Ideal Home,21435,62,7.0,91.0,57.1838764023640431,65.5070571331981068,56.7177960927960928,49.5833333333333334,59.6500000000000000,56.0079365079365079,6.677125850340135,6.725768518518518,7.343333333333334,6.731769409938947,6.575,6.798650793650793,Summer,End,NR,"Drama,                                          Comedy",English,Lucky Monkey Pictures
Alex Strangelove,21437,62,6.8,99.0,60.9828703703703704,72.7714285714285714,59.4151315789473684,59.3333333333333334,64.6666666666666667,61.2745098039215686,7.27258064516129,6.797156432748538,6.6,6.890972222222222,6.608333333333333,6.697222222222222,Spring,Beginning,R,"Drama,                                          Comedy",English,Netflix
Solo: A Star Wars Story,21438,62,6.1,135.0,56.9933433014354067,53.5954204204204204,57.3554358974358974,61.7730681818181818,61.5354166666666667,55.3089284404054380,6.5651778401778405,6.664560338540601,7.278446115288221,6.642435466189471,7.37717803030303,6.7887001188035025,Spring,End,PG13,"Action,                                          Adventure,                                          Sci-Fi,                                          Fantasy",English,Walt Disney Pictures
On Chesil Beach,21440,62,6.4,110.0,58.7223915747135561,61.7757936507936508,58.4045112781954887,41.0000000000000000,63.0000000000000000,62.0926191217689193,6.677619047619047,6.702105263157896,8.45,6.692552294197031,6.0,6.538386752136753,Spring,Middle,NR,"Drama,                                          Romance",English,BBC Films
Lu Over the Wall,21441,62,6.7,112.0,65.8333333333333333,73.0000000000000000,64.8809523809523810,74.0000000000000000,65.5000000000000000,76.0000000000000000,7.6,7.297619047619048,7.666666666666666,7.322916666666666,7.8,7.5,Spring,Middle,NR,"Adventure,                                          Fantasy,                                          Comedy,                                          Music,                                          Animation,                                          Family",Japanese,Fuji Television Network
The Young Karl Marx,21443,62,6.1,118.0,63.6247632575757576,69.8333333333333333,62.9949269480519481,78.5000000000000000,74.4444444444444444,74.5857142857142857,7.063333333333333,7.231150793650793,6.05,7.208368055555555,5.925000000000001,6.520833333333333,Winter,End,NR,"Biography,                                          Drama,                                          History","English, German, French",Canal+
